Data Structure,Configuration,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average Time (s)
array,10x10,0.0030191,0.0030025,0.0031059,0.0027979,0.0034203,0.0030074,0.0027307,0.0029774,0.0034291,0.0034131,0.0044483,0.0025206,0.0027566,0.0024864,0.0024058,0.0023724,0.0038149,0.0038966,0.0035292,0.0023882,0.00307612
array,100x1,0.0049033,0.0032132,0.0030459,0.0031209,0.0030268,0.003178,0.0046211,0.0025938,0.002643,0.0030688,0.0033793,0.003329,0.0030333,0.0029198,0.002484,0.0032086,0.0025344,0.0026174,0.0029325,0.0024887,0.00311709
array,1x100,0.0029428,0.0039745,0.0026205,0.0026674,0.0027941,0.0025561,0.0029176,0.0037831,0.0029413,0.0023638,0.002718,0.0024469,0.0031975,0.0028566,0.002459,0.0034669,0.0023472,0.0026434,0.003018,0.0024636,0.002858915
array,50x2,0.0028486,0.0027378,0.0027407,0.002546,0.0031667,0.0031183,0.0028219,0.0027942,0.0035504,0.0031144,0.0026026,0.0024312,0.0025614,0.002731,0.002588,0.0028251,0.0025072,0.0025666,0.0025147,0.0027158,0.00277413
array,25x4,0.002277,0.0029283,0.0022866,0.0022371,0.0022918,0.0023667,0.0022853,0.0023756,0.0026567,0.002593,0.0024997,0.0026064,0.0032968,0.0025578,0.0026671,0.0022662,0.0025452,0.0025651,0.002332,0.0023999,0.002501715
array,20x5,0.0024741,0.0030378,0.0024273,0.0023394,0.0024812,0.0023904,0.0024958,0.0025078,0.0022769,0.0026536,0.0026558,0.002574,0.0026941,0.0024477,0.0027573,0.0024283,0.0022889,0.0023229,0.002141,0.0023053,0.00248498
adjlist,10x10,0.0061724,0.0050815,0.0052642,0.0057997,0.0050491,0.0058086,0.0055042,0.0050597,0.0051631,0.0051279,0.0048166,0.0048278,0.0050011,0.0045968,0.0049168,0.0046441,0.0049774,0.0047074,0.0045344,0.0046821,0.005086745
adjlist,100x1,0.0064724,0.0051699,0.0058327,0.0060258,0.0063354,0.0054734,0.0054316,0.0054346,0.0054665,0.005132,0.0054033,0.0052376,0.0053933,0.005414,0.0055592,0.0051264,0.0053038,0.0057153,0.0054584,0.0053112,0.00553484
adjlist,1x100,0.0062388,0.0050033,0.0060841,0.0057753,0.0048749,0.0058144,0.0052003,0.0052411,0.0053422,0.0051966,0.0052025,0.005282,0.0052849,0.0051112,0.0057101,0.0054873,0.0052261,0.007512,0.0067613,0.0078448,0.00570966
adjlist,50x2,0.0064454,0.0055114,0.0081417,0.0063293,0.0071741,0.0055613,0.0052919,0.005672,0.0052805,0.0050847,0.0051589,0.0050919,0.0049766,0.0051338,0.0054739,0.0055268,0.0055219,0.0054583,0.0049349,0.0050587,0.0056414
adjlist,25x4,0.0071355,0.005247,0.0053704,0.005359,0.0048498,0.0053865,0.0047834,0.0045192,0.0051673,0.0048511,0.004758,0.0047348,0.0054099,0.0047218,0.0047036,0.0055371,0.0048068,0.0049736,0.0062421,0.0058428,0.005219985
adjlist,20x5,0.0063071,0.0054482,0.005061,0.0059708,0.0054379,0.004888,0.0050034,0.0052653,0.0049089,0.0049277,0.0053753,0.0048762,0.0049111,0.0046866,0.0053765,0.0051625,0.005027,0.0054245,0.0048891,0.0046672,0.005180715
adjmat,10x10,0.004328,0.0036454,0.003685,0.0041743,0.003739,0.0037215,0.0043002,0.0054721,0.0038142,0.0033864,0.0037634,0.0042944,0.0035363,0.0034642,0.0047213,0.0047434,0.0041153,0.0036838,0.0037288,0.0041669,0.004024195
adjmat,100x1,0.004584,0.0043624,0.0036817,0.0046177,0.0038229,0.0063237,0.0048809,0.0040816,0.0038928,0.0041254,0.0045625,0.0054334,0.0046063,0.0045341,0.0046254,0.0042535,0.0036669,0.0045059,0.0057132,0.0042873,0.00452808
adjmat,1x100,0.0050952,0.0050021,0.004418,0.003729,0.0067259,0.0044067,0.0041156,0.0045323,0.0039377,0.0039001,0.0036665,0.0052596,0.0045343,0.0040548,0.0043647,0.0042513,0.003833,0.0037248,0.0050593,0.0045143,0.00445626
adjmat,50x2,0.0050364,0.0040939,0.0049508,0.0038526,0.0035777,0.0062669,0.0040772,0.0038838,0.0037919,0.0042893,0.003784,0.003666,0.0049652,0.0049735,0.0038645,0.0037375,0.0037826,0.0042874,0.0035225,0.0037636,0.004208365
adjmat,25x4,0.0051948,0.004837,0.0036368,0.0036065,0.0034173,0.0040488,0.0033867,0.0049223,0.0050504,0.0043714,0.0038098,0.0036756,0.0034762,0.0039446,0.0034343,0.0036022,0.0035535,0.0036777,0.0038659,0.0041443,0.003982805
adjmat,20x5,0.0044791,0.0042205,0.0045183,0.0034591,0.0033332,0.0034415,0.0045716,0.0043648,0.0035899,0.0033649,0.0047443,0.0036552,0.0037159,0.0035647,0.0052413,0.0039786,0.0035174,0.0033219,0.0041546,0.0033212,0.0039279
